date,eq_prem,eq_prem_lead,dy,ep,dpayr,svar,bmr,ntis,tbl,lty,ltr,dfr,dfy,inf
194801,-0.038543,-0.040932,-2.9,-2.19,0.67,0.001048863984,0.751888303959716,0.027765386729122,0.0097,0.0243,0.002,0.0004,0.0066,0.012987012987013
194802,-0.040932,0.08074,-2.85,-2.12,0.68,0.001755637739,0.787769784172662,0.029134401018585,0.01,0.0241,0.0046,-0.0007,0.0068,0.012820512820513
194803,0.08074,0.029921,-2.8,-2.18,0.7,0.002082021349,0.841422121896163,0.02718702548354,0.01,0.0241,0.0034,0.0081,0.007,-0.008438818565401
194804,0.029921,0.083214,-2.88,-2.17,0.73,0.000551969235,0.825993019777298,0.027453933573589,0.01,0.0239,0.0045,-0.0007,0.0069,-0.004255319148936
194805,0.083214,0.006865,-2.9,-2.22,0.76,0.001452757547,0.78169235608682,0.025578121484162,0.01,0.0231,0.0141,-0.0133,0.0062,0.017094017094017
194806,0.006865,-0.053196,-2.98,-2.2,0.78,0.000907056688,0.78697350364193,0.023893669202065,0.01,0.0238,-0.0084,9.99999999999994E-05,0.0058,0.004201680672269
194807,-0.053196,0.014739,-2.97,-2.11,0.81,0.002766991147,0.822257762091215,0.022179319981707,0.01,0.0241,-0.0021,-0.0031,0.0056,0.00836820083682
194808,0.014739,-0.027916,-2.91,-2.08,0.84,0.001185139334,0.820538220241043,0.019226802697697,0.0106,0.0242,0.0001,0.0054,0.006,0.012448132780083
194809,-0.027916,0.069641,-2.91,-2.01,0.87,0.002395501641,0.836231071228267,0.019128082199315,0.0109,0.0242,0.0014,0.001,0.0061,0.004098360655738
194810,0.069641,-0.098732,-2.86,-2.04,0.88,0.000827563308,0.791905672402804,0.018133741019191,0.0112,0.0243,0.0007,0.0017,0.0066,0
194811,-0.098732,0.035552,-2.9,-1.9,0.89,0.006158903129,0.870911214953271,0.017791537265786,0.0114,0.0239,0.0076,0.0009,0.0069,-0.004081632653061
194812,0.035552,0.002276,-2.76,-1.89,0.9,0.00096740501,0.840947546531303,0.015014554123043,0.0116,0.0237,0.0056,0.0075,0.0074,-0.008196721311475
194901,0.002276,-0.032639,-2.78,-1.88,0.9,0.001312986226,0.832402858418937,0.013297671379348,0.0117,0.0233,0.0082,-0.0044,0.0075,-0.004132231404959
194902,-0.032639,0.033081,-2.76,-1.83,0.89,0.001409678606,0.861550907199815,0.017219043668336,0.0117,0.0231,0.0049,-0.0011,0.0074,-0.004149377593361
194903,0.033081,-0.019691,-2.7,-1.84,0.89,0.001120894145,0.901750423489554,0.014658966241923,0.0117,0.0227,0.0074,-0.0067,0.0077,-0.008333333333333
194904,-0.019691,-0.030323,-2.72,-1.82,0.88,0.000499270597,0.917499712742732,0.015288745507973,0.0117,0.0227,0.0011,0.0012,0.0075,0
194905,-0.030323,0.000744,-2.68,-1.78,0.87,0.001007660117,0.948562603943929,0.016901437544982,0.0117,0.0227,0.0019,0.0019,0.0074,0.004201680672269
194906,0.000744,0.061732,-2.63,-1.77,0.86,0.001697811674,0.953888424322064,0.016812417606631,0.0117,0.0217,0.0167,-0.0083,0.0076,-0.00418410041841
194907,0.061732,0.0209,-2.62,-1.84,0.85,0.000640880894,0.907798999545248,0.019511400370179,0.0102,0.0216,0.0033,0.0066,0.0079,0.004201680672269
