date,y_true,fcast_glp,hmean,nr_glp,dy,ep,dpayr,svar,bmr,ntis,tbl,lty,ltr,dfr,dfy,inf,Pyun_FC
1999-01-01,0.039,0.01491540047536332,0.011405242990654204,3.3484,0.2552,0.2683,0.2837,0.3425,0.25,0.246,0.2539,0.2602,0.227,0.2229,0.2601,0.2472,0.2314
1999-02-01,-0.035435,0.01690675380682449,0.011660749999999998,3.9734,0.2954,0.3072,0.3318,0.4063,0.2981,0.2955,0.2989,0.3089,0.2747,0.2739,0.3108,0.2932,0.2787
1999-03-01,0.035479,0.012998300320304412,0.011228678899082566,3.2248,0.245,0.2721,0.2706,0.3285,0.2421,0.2376,0.2403,0.2449,0.22,0.2242,0.2389,0.2327,0.2279
1999-04-01,0.033259,0.013416381368908948,0.011449136363636361,3.3302,0.2501,0.2652,0.2752,0.3411,0.2506,0.2529,0.2481,0.2563,0.2291,0.2354,0.2478,0.2405,0.2379
1999-05-01,-0.026859,0.01304374137324348,0.011645621621621617,3.154,0.2377,0.2517,0.2675,0.3425,0.2396,0.234,0.2349,0.237,0.2124,0.2113,0.239,0.2272,0.2192
1999-06-01,0.051031,0.011342191219920751,0.011301830357142854,2.9778,0.2216,0.2483,0.2514,0.3261,0.2166,0.2224,0.2216,0.2239,0.2015,0.206,0.2178,0.2133,0.2073
1999-07-01,-0.03422,0.012760745935089579,0.011653415929203537,3.2058,0.2466,0.2582,0.2689,0.3448,0.2377,0.241,0.2388,0.2452,0.2186,0.2186,0.2381,0.225,0.2243
1999-08-01,-0.008789,0.011081031055870806,0.011251017543859649,3.2927,0.2411,0.2735,0.2756,0.3452,0.2421,0.2464,0.2454,0.2539,0.2335,0.2279,0.246,0.2292,0.2329
1999-09-01,-0.031979,0.011679407720693223,0.011076756521739131,3.1856,0.2324,0.277,0.2626,0.345,0.2331,0.2344,0.2374,0.2432,0.2193,0.2295,0.2333,0.214,0.2244
1999-10-01,0.060338,0.011253790052814445,0.010705586206896552,3.1828,0.2353,0.2827,0.2563,0.3429,0.2332,0.2364,0.2376,0.2451,0.2198,0.2178,0.2316,0.2212,0.2229
1999-11-01,0.016922,0.013972763759045667,0.011129794871794873,3.4186,0.2497,0.2852,0.2807,0.3457,0.254,0.2594,0.2585,0.2597,0.2375,0.2442,0.2563,0.2398,0.2479
1999-12-01,0.058979,0.010615393076897663,0.011178881355932205,3.7719,0.2785,0.3176,0.3057,0.3838,0.2846,0.2796,0.2875,0.2918,0.2615,0.2671,0.2798,0.2665,0.2679
2000-01-01,-0.05403,0.011657360366095031,0.011580563025210084,3.4306,0.2631,0.2804,0.2873,0.358,0.2618,0.2564,0.2562,0.2594,0.2372,0.2434,0.2529,0.2335,0.241
2000-02-01,-0.021558,0.013180318922171254,0.011033808333333334,3.2588,0.2417,0.2805,0.2678,0.3465,0.2367,0.2409,0.2437,0.255,0.2228,0.2282,0.2429,0.2216,0.2305
2000-03-01,0.094188,0.010502709984811148,0.010764454545454546,3.1835,0.2433,0.275,0.253,0.316,0.2373,0.2453,0.2409,0.2477,0.2195,0.2258,0.2447,0.2167,0.2183
2000-04-01,-0.036285,0.015443040668856354,0.011448254098360656,2.6797,0.1994,0.2266,0.2336,0.287,0.2007,0.1956,0.1974,0.2093,0.1835,0.1841,0.2038,0.1762,0.1825
2000-05-01,-0.026904,0.013872770092381076,0.011060178861788618,2.7145,0.2077,0.2364,0.2301,0.2421,0.2085,0.204,0.2026,0.2154,0.1914,0.1933,0.2028,0.189,0.1912
2000-06-01,0.021219,0.011893909538704532,0.010754016129032259,2.3397,0.1754,0.2043,0.1925,0.1962,0.1766,0.1753,0.1747,0.188,0.1708,0.1692,0.1765,0.1703,0.1699
2000-07-01,-0.016795,0.011632723148278038,0.010837736,2.435,0.1866,0.2144,0.2015,0.207,0.1823,0.1856,0.1823,0.1965,0.1701,0.1708,0.1869,0.1769,0.1741
2000-08-01,0.057794,0.010768125871183623,0.010618428571428574,2.3394,0.1812,0.2051,0.1861,0.1932,0.1793,0.1757,0.1759,0.1915,0.1642,0.1672,0.1781,0.1707,0.1712
2000-09-01,-0.057088,0.011210671246667787,0.010989889763779528,2.5277,0.1936,0.2152,0.2099,0.2064,0.1935,0.1928,0.1865,0.2077,0.1814,0.1851,0.1932,0.18,0.1824
2000-10-01,-0.00922,0.011016732471319329,0.010458031250000001,2.2613,0.1723,0.2064,0.183,0.1897,0.1743,0.17,0.1708,0.1813,0.1588,0.1621,0.168,0.1599,0.1647
2000-11-01,-0.083868,0.011264152424803551,0.010305488372093025,2.1888,0.1676,0.2005,0.1697,0.186,0.1654,0.162,0.1687,0.1745,0.1565,0.1559,0.1679,0.1512,0.1629
2000-12-01,0.00062,0.009563437712607493,0.009581076923076923,2.2287,0.1727,0.2087,0.1721,0.1752,0.1676,0.1631,0.1746,0.1735,0.1599,0.1699,0.1679,0.1641,0.1594
2001-01-01,0.027375,0.010431505594748649,0.009512671755725193,2.4911,0.192,0.2317,0.1937,0.2008,0.1914,0.1817,0.1872,0.1971,0.1778,0.1816,0.1846,0.1831,0.1884
2001-02-01,-0.096352,0.010673560914995139,0.009647992424242425,1.8946,0.143,0.1813,0.1476,0.1565,0.1403,0.1394,0.1451,0.1459,0.1336,0.1386,0.1444,0.1389,0.14
2001-03-01,-0.067506,0.00801202309790474,0.008851000000000001,2.2236,0.1755,0.2175,0.17,0.1654,0.1652,0.1682,0.1669,0.1697,0.1619,0.1609,0.167,0.1586,0.1768
2001-04-01,0.073625,0.007929247382007752,0.008281171641791044,2.4578,0.1959,0.2502,0.1823,0.1834,0.1864,0.1821,0.184,0.1875,0.1707,0.1723,0.1814,0.1826,0.199
2001-05-01,0.00297,0.008807818278073969,0.0087652,2.3769,0.1918,0.2309,0.1739,0.1925,0.1831,0.1754,0.1801,0.1784,0.1671,0.1717,0.1741,0.1698,0.1881
2001-06-01,-0.027706,0.006316459936143029,0.008722588235294117,2.409,0.1937,0.2422,0.1796,0.1893,0.178,0.1785,0.1812,0.1794,0.1746,0.1671,0.177,0.1738,0.1946
2001-07-01,-0.012117,0.005796431350643882,0.008456686131386861,2.7169,0.2152,0.2674,0.2025,0.213,0.2049,0.1991,0.2018,0.2022,0.1888,0.1932,0.2019,0.1993,0.2276
2001-08-01,-0.066435,0.00663136800692764,0.008307601449275363,2.7943,0.2201,0.2824,0.207,0.2157,0.2096,0.2047,0.2085,0.2155,0.1929,0.1947,0.2048,0.2068,0.2316
2001-09-01,-0.083461,0.004513629272791713,0.007769884892086331,2.6373,0.2102,0.3072,0.1935,0.2091,0.1988,0.1926,0.1934,0.1952,0.1793,0.1825,0.1847,0.1817,0.2091
2001-10-01,0.01674,0.003739391949504978,0.0071182357142857144,3.5231,0.2826,0.4315,0.2619,0.2788,0.258,0.2691,0.2561,0.2549,0.2384,0.2331,0.244,0.2338,0.2809
2001-11-01,0.076587,0.0002759803769986916,0.0071864751773049644,3.6192,0.2809,0.4432,0.2679,0.2916,0.2659,0.2707,0.2589,0.2682,0.2438,0.239,0.2515,0.2405,0.2971
2001-12-01,0.007351,0.003848276300838359,0.007675211267605633,2.6145,0.2125,0.2857,0.1939,0.2131,0.1988,0.1916,0.1953,0.1965,0.1744,0.1799,0.1845,0.1795,0.2088
2002-01-01,-0.015824,0.004294121713840066,0.007672944055944057,2.6799,0.2159,0.2854,0.1945,0.2139,0.2027,0.1992,0.2004,0.2038,0.1828,0.1904,0.197,0.1799,0.214
2002-02-01,-0.020881,0.0039402210787657845,0.007509770833333334,2.6361,0.2165,0.2932,0.1921,0.2122,0.2004,0.1944,0.192,0.2028,0.1753,0.178,0.1886,0.1776,0.213
2002-03-01,0.036272,0.0035547479386945436,0.007313972413793104,3.108,0.2524,0.3445,0.2325,0.2492,0.2348,0.2286,0.2323,0.2375,0.209,0.2148,0.2187,0.2109,0.2428
2002-04-01,-0.062301,0.004605286502279154,0.007512315068493152,2.8073,0.2283,0.2948,0.2037,0.2274,0.2164,0.2016,0.2107,0.2103,0.1961,0.189,0.2052,0.1934,0.2304
2002-05-01,-0.0093,0.0023586327844335804,0.00703739455782313,3.2666,0.27,0.3798,0.238,0.2704,0.2423,0.2365,0.2398,0.251,0.2201,0.2187,0.2208,0.219,0.2602
2002-06-01,-0.072749,0.00221299084521886,0.006927006756756757,3.2785,0.2663,0.3865,0.2379,0.2707,0.2491,0.239,0.2389,0.251,0.2182,0.2179,0.2219,0.2167,0.2644
2002-07-01,-0.075287,0.0017797941435991605,0.00639226845637584,3.4172,0.2736,0.4502,0.2421,0.2711,0.255,0.237,0.2395,0.2541,0.2229,0.229,0.2254,0.2183,0.299
2002-08-01,0.005561,0.005674100419486532,0.0058477400000000014,4.1638,0.3425,0.5639,0.297,0.3162,0.3005,0.288,0.2947,0.3057,0.2665,0.2733,0.2718,0.2637,0.38
2002-09-01,-0.110365,0.0016018450414541513,0.00584584105960265,3.9811,0.3326,0.5443,0.2911,0.2904,0.2869,0.2699,0.283,0.2973,0.2549,0.2564,0.2672,0.256,0.3511
2002-10-01,0.087199,0.007948877265234213,0.00508129605263158,4.5265,0.3685,0.6244,0.321,0.2917,0.3298,0.3072,0.3194,0.3307,0.2824,0.2961,0.3144,0.279,0.4619
2002-11-01,0.057619,0.0017775046639539425,0.005618013071895426,4.8642,0.3838,0.6428,0.3434,0.3123,0.3422,0.3271,0.3335,0.3563,0.3024,0.3092,0.3169,0.2944,0.5999
2002-12-01,-0.060034,-0.0020879480717988686,0.005955681818181819,5.0496,0.403,0.6283,0.3573,0.3591,0.3608,0.3389,0.3509,0.3743,0.3182,0.3284,0.3212,0.3075,0.6017
2003-01-01,-0.027679,-0.004185667748339967,0.005529941935483872,5.2669,0.4139,0.6919,0.3694,0.3609,0.372,0.3463,0.3564,0.3828,0.321,0.3492,0.3388,0.3109,0.6534
2003-02-01,-0.016246,-0.0023711072623785216,0.005317064102564104,5.0605,0.3981,0.6822,0.3536,0.3394,0.3565,0.3292,0.3424,0.3685,0.3041,0.3212,0.3208,0.2921,0.6524
2003-03-01,0.009408,-0.00947486289844985,0.005179719745222931,5.2366,0.4102,0.7046,0.3662,0.3603,0.3595,0.3359,0.3512,0.3809,0.3129,0.3348,0.3336,0.3087,0.6778
2003-04-01,0.081774,-0.0057124892406763324,0.005206481012658228,5.4383,0.4244,0.7079,0.3825,0.3725,0.376,0.3597,0.3798,0.3936,0.3374,0.3563,0.352,0.3302,0.666
2003-05-01,0.052251,0.004769268432691687,0.005688037735849058,4.3355,0.3497,0.6036,0.3021,0.3127,0.305,0.2777,0.2978,0.3318,0.2663,0.2714,0.2791,0.2636,0.4747
2003-06-01,0.011916,0.0024343826976834172,0.0059790562500000016,4.5888,0.3608,0.6262,0.3183,0.335,0.314,0.2964,0.3209,0.3691,0.285,0.2845,0.2978,0.2866,0.4942
2003-07-01,0.016932,0.004508644682160385,0.006015931677018635,4.7434,0.3791,0.6295,0.3358,0.3453,0.3272,0.3077,0.3344,0.374,0.2918,0.2966,0.3034,0.2949,0.5237
2003-08-01,0.018897,0.0033541247864003493,0.006083314814814815,4.9228,0.3924,0.6527,0.345,0.3558,0.3396,0.3135,0.3478,0.4059,0.3052,0.3139,0.312,0.3026,0.5364
2003-09-01,-0.011437,0.0024229310929811732,0.006161926380368098,4.9356,0.3963,0.6418,0.3531,0.3525,0.3426,0.3158,0.3538,0.4012,0.3092,0.3058,0.3202,0.3163,0.527
2003-10-01,0.05476,0.011321928032458097,0.006054615853658536,4.7808,0.3839,0.6359,0.3382,0.3335,0.3299,0.3065,0.3447,0.388,0.2976,0.299,0.3038,0.2969,0.5229
2003-11-01,0.008559,0.009319821491259813,0.0063498,5.2213,0.4045,0.6719,0.3725,0.362,0.3578,0.3264,0.3817,0.442,0.3173,0.3299,0.3345,0.3292,0.5916
2003-12-01,0.05108,0.013777338532480015,0.00636310843373494,5.1348,0.3961,0.6706,0.3625,0.3616,0.3561,0.3237,0.376,0.429,0.3063,0.3211,0.3239,0.3166,0.5913
2004-01-01,0.018278,0.01486110084680313,0.006630874251497006,5.5989,0.4375,0.7179,0.3989,0.3763,0.3819,0.3452,0.4188,0.484,0.3384,0.3481,0.3471,0.3423,0.6625
2004-02-01,0.013703,0.016753864015024694,0.006700202380952381,5.4061,0.4174,0.7083,0.3871,0.3671,0.3705,0.328,0.4106,0.4661,0.3169,0.3249,0.3348,0.3207,0.6537
2004-03-01,-0.015582,0.01119434424246586,0.006741639053254438,5.6179,0.4288,0.7309,0.397,0.3854,0.3851,0.3437,0.415,0.4998,0.3333,0.3421,0.3507,0.3376,0.6685
2004-04-01,-0.016484,0.01738827862270119,0.006610323529411765,5.4151,0.4201,0.7046,0.383,0.3694,0.3644,0.3431,0.3869,0.4558,0.3262,0.3367,0.3367,0.3298,0.6584
2004-05-01,0.012829,0.01135035283423697,0.006475269005847954,4.9671,0.3943,0.6583,0.3435,0.3507,0.3456,0.3175,0.3449,0.3965,0.2992,0.3072,0.311,0.2993,0.5991
2004-06-01,0.018888,0.012511466650952539,0.006512209302325582,5.192,0.4191,0.6781,0.364,0.3656,0.3615,0.3333,0.3616,0.4175,0.3156,0.3184,0.3295,0.3065,0.6213
2004-07-01,-0.033754,0.004659682453454346,0.006583745664739885,4.838,0.3821,0.6484,0.3324,0.332,0.3335,0.3041,0.3321,0.3947,0.2962,0.2953,0.3084,0.2848,0.594
2004-08-01,0.002807,0.011600396414372348,0.006351919540229885,5.2022,0.41,0.6557,0.3631,0.3692,0.3642,0.3364,0.347,0.4089,0.3197,0.3255,0.3316,0.3135,0.6574
2004-09-01,0.009717,0.012868900985468322,0.006331662857142858,4.8594,0.3844,0.6397,0.3277,0.3449,0.3305,0.3037,0.3217,0.3822,0.2935,0.2952,0.3074,0.2811,0.6474
2004-10-01,0.013873,0.009416496999732916,0.006350897727272728,4.9774,0.3921,0.6493,0.3376,0.3553,0.34,0.3078,0.3322,0.3866,0.3006,0.3088,0.3145,0.2945,0.6581
2004-11-01,0.039459,0.006829696265414064,0.006393395480225989,5.0778,0.4056,0.6567,0.3498,0.3648,0.3456,0.3267,0.333,0.3868,0.3111,0.3177,0.3181,0.3051,0.6568
2004-12-01,0.032234,0.008370226982147339,0.006579157303370786,5.182,0.4129,0.6851,0.3572,0.3704,0.3505,0.328,0.3546,0.4116,0.3158,0.3103,0.3247,0.3048,0.6561
2005-01-01,-0.025424,0.01080863297664275,0.006722480446927375,5.06,0.4025,0.6852,0.351,0.357,0.3377,0.3178,0.3372,0.4123,0.3066,0.3042,0.3117,0.301,0.6358
2005-02-01,0.019552,0.01194327211775148,0.00654388888888889,4.9954,0.3977,0.6614,0.345,0.3628,0.3422,0.3094,0.3382,0.3887,0.2991,0.3101,0.3118,0.3026,0.6264
2005-03-01,-0.01884,0.011774280538722268,0.006615756906077349,5.1016,0.4024,0.6772,0.3553,0.3697,0.3511,0.3208,0.3419,0.3971,0.3086,0.3163,0.3208,0.3012,0.6392
2005-04-01,-0.021026,0.012940224245386411,0.006475890109890111,5.096,0.4081,0.663,0.3507,0.3716,0.3487,0.324,0.3434,0.3873,0.315,0.3164,0.3235,0.3112,0.6331
2005-05-01,0.029894,0.011220292694311386,0.00632560655737705,5.0561,0.4008,0.6471,0.3538,0.3759,0.3557,0.3324,0.34,0.3697,0.3129,0.3209,0.3238,0.3091,0.614
2005-06-01,-0.000683,0.012071148496092048,0.0064536956521739144,4.8104,0.381,0.6515,0.327,0.3558,0.3302,0.3132,0.3231,0.3559,0.289,0.2881,0.3014,0.2887,0.6055
2005-07-01,0.035064,0.008845746461435867,0.006415118918918921,5.2123,0.4204,0.6648,0.3619,0.3914,0.3698,0.342,0.3444,0.3875,0.3215,0.3291,0.3357,0.3167,0.6271
2005-08-01,-0.011559,0.008685482733744714,0.006569145161290324,4.7062,0.3755,0.6519,0.3258,0.3515,0.3238,0.3021,0.3082,0.3527,0.2773,0.2869,0.2876,0.2701,0.5928
2005-09-01,0.005067,0.008741923968080318,0.006472203208556151,5.0853,0.4116,0.6631,0.3564,0.3781,0.3483,0.3313,0.3449,0.3738,0.3093,0.3122,0.3192,0.3057,0.6314
2005-10-01,-0.018572,0.008127217256501777,0.006464728723404256,4.8456,0.383,0.6512,0.3374,0.3615,0.3412,0.3103,0.3209,0.3498,0.2933,0.2961,0.3084,0.2832,0.6093
2005-11-01,0.035589,0.011177747221421152,0.00633225925925926,4.9536,0.3979,0.6392,0.3447,0.3773,0.3476,0.3202,0.3312,0.3562,0.2988,0.3066,0.3129,0.2973,0.6237
2005-12-01,-0.00316,0.008838308082038539,0.006486242105263159,5.2581,0.4207,0.6922,0.3625,0.3948,0.3669,0.3379,0.3489,0.3861,0.3165,0.3258,0.3353,0.3051,0.6654
2006-01-01,0.023242,0.00904673787112485,0.0064357382198952885,4.7108,0.3741,0.6447,0.3213,0.3567,0.3259,0.3037,0.3114,0.3286,0.2772,0.282,0.2919,0.2755,0.6178
2006-02-01,-0.001075,0.009056385941250203,0.006523270833333334,4.9787,0.3883,0.6728,0.3372,0.3776,0.3415,0.323,0.3307,0.3591,0.2954,0.3074,0.3133,0.2915,0.6409
2006-03-01,0.009509,0.011957513948978142,0.006483901554404146,5.0317,0.3989,0.6729,0.3495,0.3795,0.3475,0.3268,0.3328,0.3514,0.3002,0.3099,0.3122,0.2932,0.6569
2006-04-01,0.008364,0.009885289245631571,0.006499494845360824,4.8553,0.384,0.6589,0.3312,0.3692,0.3253,0.3091,0.3212,0.3359,0.2944,0.2985,0.3077,0.284,0.6359
2006-05-01,-0.031919,0.007348731567403088,0.006509056410256409,4.8908,0.3924,0.6623,0.3391,0.3685,0.3386,0.305,0.3204,0.344,0.2876,0.2993,0.3019,0.2823,0.6494
2006-06-01,-0.002713,0.009412498595776995,0.006312994897959182,4.8857,0.3924,0.6446,0.3303,0.3814,0.3407,0.3159,0.3237,0.3316,0.2838,0.2958,0.3098,0.2845,0.6512
2006-07-01,0.001571,0.008475365586877297,0.006267177664974618,4.9764,0.4097,0.6353,0.3374,0.3786,0.3393,0.3284,0.3285,0.3473,0.2936,0.3059,0.31,0.2911,0.6713
2006-08-01,0.02015,0.00847151960320716,0.006243459595959595,4.6552,0.3731,0.6212,0.3129,0.3613,0.3251,0.2976,0.3088,0.3151,0.2667,0.28,0.2857,0.2627,0.645
2006-09-01,0.022287,0.008182088001545159,0.006313341708542712,5.2821,0.4202,0.6836,0.3673,0.4103,0.3669,0.3485,0.3528,0.3579,0.3101,0.3255,0.33,0.3086,0.7004
2006-10-01,0.028427,0.0076259714342919935,0.006393209999999998,4.9562,0.4052,0.6472,0.3416,0.3763,0.3421,0.3171,0.3313,0.3426,0.2954,0.3023,0.3049,0.2848,0.6654
2006-11-01,0.014285,0.009175113902625896,0.006502830845771143,5.3103,0.4275,0.694,0.3658,0.4045,0.3642,0.3477,0.3505,0.3699,0.3221,0.3219,0.3357,0.3154,0.6911
2006-12-01,0.009568,0.0077100581021435355,0.006541356435643563,5.1673,0.4217,0.6838,0.3578,0.394,0.3554,0.334,0.3434,0.3576,0.3058,0.3135,0.3219,0.2987,0.6797
2007-01-01,0.011313,0.007954245187813857,0.006556266009852215,4.9259,0.3957,0.666,0.3411,0.3721,0.3444,0.3103,0.3204,0.3467,0.2874,0.2945,0.3084,0.2794,0.6595
2007-02-01,-0.023688,0.008220443652798096,0.006579583333333331,5.3109,0.4269,0.7072,0.3652,0.4073,0.3666,0.338,0.3547,0.3745,0.3135,0.3276,0.3304,0.3052,0.6938
2007-03-01,0.007094,0.008855372370801482,0.006431936585365852,5.1894,0.417,0.6817,0.3496,0.403,0.3607,0.345,0.3436,0.3576,0.3054,0.3201,0.3242,0.2935,0.688
2007-04-01,0.039691,0.008962122525834282,0.006435150485436892,5.1353,0.4138,0.6819,0.3581,0.3945,0.3573,0.3411,0.3363,0.3528,0.2996,0.2989,0.3141,0.2933,0.6936
2007-05-01,0.030059,0.008293515755712024,0.006595806763285022,5.3566,0.4204,0.7166,0.3673,0.4211,0.3726,0.3455,0.3615,0.3678,0.3152,0.3242,0.3338,0.3018,0.7088
2007-06-01,-0.02072,0.011742357049160346,0.006708610576923075,5.2676,0.4171,0.713,0.3629,0.4025,0.3681,0.3477,0.3476,0.3624,0.3025,0.3223,0.3274,0.3065,0.6876
2007-07-01,-0.035197,0.012129905717077212,0.006577373205741624,5.2868,0.4196,0.7068,0.3715,0.4122,0.3677,0.3534,0.3525,0.3646,0.3127,0.3165,0.326,0.3042,0.6791
2007-08-01,0.011094,0.011288920157011462,0.006378447619047619,5.005,0.4085,0.658,0.3448,0.3944,0.3472,0.333,0.3303,0.3459,0.2969,0.299,0.3066,0.2893,0.6511
2007-09-01,0.033268,0.009377009148479009,0.006400796208530806,4.9091,0.4017,0.6475,0.3415,0.3844,0.336,0.3297,0.3281,0.3334,0.295,0.2945,0.2988,0.2837,0.6348
2007-10-01,0.01416,0.008498706215035753,0.006527528301886793,4.9946,0.4037,0.6752,0.3411,0.3976,0.3419,0.3297,0.3263,0.3459,0.2959,0.3002,0.3097,0.2846,0.6428
2007-11-01,-0.044582,0.008315208959270782,0.006563361502347418,4.8813,0.3887,0.6739,0.3367,0.3876,0.3357,0.3137,0.3298,0.3336,0.2827,0.2861,0.298,0.276,0.6388
2007-12-01,-0.009516,0.009978620948693433,0.006324364485981309,5.094,0.4118,0.6668,0.3591,0.4118,0.3505,0.3564,0.3356,0.344,0.3057,0.3049,0.3149,0.2952,0.6373
2008-01-01,-0.063866,0.00359169645653948,0.006250688372093024,4.9457,0.3988,0.6567,0.3448,0.3913,0.3391,0.348,0.3233,0.3263,0.2951,0.2992,0.314,0.292,0.6171
2008-02-01,-0.033519,0.0028699861644983123,0.005926074074074074,5.0582,0.3971,0.6697,0.3524,0.4068,0.3499,0.409,0.3222,0.3287,0.295,0.294,0.3106,0.2868,0.636
2008-03-01,-0.0047,-0.0006567602371062431,0.0057442995391705064,5.3988,0.4223,0.688,0.3843,0.4156,0.3701,0.4825,0.3384,0.3538,0.3064,0.3108,0.3375,0.3073,0.6818
2008-04-01,0.046929,0.0006901858686040524,0.005696389908256881,5.5973,0.4403,0.6924,0.397,0.4313,0.3801,0.4884,0.3528,0.371,0.3309,0.3328,0.3629,0.3257,0.6917
2008-05-01,0.011186,-0.0037607308141462065,0.0058846666666666665,5.4158,0.4297,0.685,0.3731,0.4365,0.3721,0.4264,0.357,0.3527,0.3238,0.3247,0.3488,0.321,0.665
2008-06-01,-0.084642,0.0006442509427443147,0.005908763636363636,5.0153,0.4076,0.6543,0.3469,0.4046,0.3436,0.3778,0.3271,0.3274,0.2933,0.2979,0.3151,0.2853,0.6344
2008-07-01,-0.009006,-0.000925418849043605,0.005499031674208144,5.7104,0.4308,0.7335,0.3975,0.4882,0.3809,0.5204,0.3611,0.3757,0.3318,0.3294,0.3688,0.3194,0.6729
2008-08-01,0.013455,-0.0046669321042490655,0.005433693693693693,6.261,0.4788,0.7691,0.4448,0.5276,0.427,0.5664,0.3999,0.4153,0.373,0.3725,0.4044,0.3656,0.7166
2008-09-01,-0.086767,-0.003101332623594833,0.0054696636771300435,5.8874,0.4598,0.7394,0.4143,0.4988,0.3985,0.5142,0.3714,0.3892,0.3512,0.343,0.3823,0.3372,0.6881
2008-10-01,-0.16848,0.006100061767242083,0.005057892857142856,6.6561,0.4941,0.8035,0.4814,0.5694,0.4493,0.6625,0.4156,0.4429,0.3861,0.3972,0.4384,0.3877,0.728
2008-11-01,-0.074312,-0.029546898687408812,0.004286613333333332,8.4976,0.6101,0.8796,0.6366,0.5197,0.5675,0.8831,0.5192,0.5501,0.5821,0.7934,0.5606,0.4958,0.8998
2008-12-01,0.011695,-0.045617678911911465,0.003938831858407079,8.7508,0.6244,0.8854,0.6658,0.5743,0.5798,0.9078,0.5325,0.5672,0.6037,0.7939,0.5835,0.514,0.9185
2009-01-01,-0.082615,-0.023480927283849252,0.003972999999999999,9.0135,0.6423,0.8863,0.6631,0.573,0.5979,0.8919,0.5695,0.6126,0.6975,0.8168,0.6153,0.5258,0.9215
2009-02-01,-0.103588,-0.05236204311273128,0.003593228070175438,8.7069,0.6159,0.8992,0.6804,0.5538,0.583,0.9149,0.5362,0.5718,0.5976,0.704,0.5945,0.5224,0.9332
2009-03-01,0.087534,-0.059105325369926735,0.0031251877729257635,8.9941,0.6404,0.9184,0.7272,0.5485,0.6032,0.9379,0.5508,0.5721,0.6747,0.7187,0.6156,0.556,0.9306
2009-04-01,0.09403,-0.05834617758686431,0.0034921826086956515,8.1772,0.5711,0.8285,0.5846,0.5566,0.5286,0.844,0.4957,0.5391,0.5696,0.5698,0.567,0.5611,0.9615
2009-05-01,0.05454,-0.005195364811707336,0.003884121212121211,7.3596,0.573,0.5747,0.4963,0.5265,0.4933,0.6824,0.481,0.5047,0.5541,0.4521,0.5196,0.6165,0.8854
2009-06-01,0.002476,-0.005422122950252567,0.004102465517241379,7.29,0.5923,0.5152,0.4883,0.5435,0.4854,0.6478,0.4712,0.5052,0.5282,0.4678,0.5136,0.6254,0.9061
2009-07-01,0.074382,-0.0015993975094005424,0.004095484978540772,7.6055,0.6191,0.5376,0.522,0.5661,0.5112,0.6703,0.5023,0.5365,0.549,0.4997,0.5347,0.6462,0.9108
2009-08-01,0.034651,0.010614669386279738,0.004395854700854701,7.3905,0.6157,0.4909,0.5121,0.5649,0.4973,0.6071,0.4859,0.5276,0.5419,0.5042,0.5089,0.6407,0.8933
2009-09-01,0.036434,0.0010195667334256117,0.004524599999999999,7.675,0.6318,0.506,0.5421,0.5894,0.5179,0.6287,0.5093,0.5457,0.5668,0.5332,0.5264,0.674,0.9037
2009-10-01,-0.018359,0.01419696256324736,0.004659809322033899,7.8031,0.6595,0.5255,0.5527,0.5938,0.5315,0.627,0.5138,0.5556,0.582,0.5428,0.5441,0.6798,0.895
2009-11-01,0.060257,0.014182486325750681,0.004562683544303797,7.6454,0.6489,0.51,0.5413,0.5891,0.5173,0.6208,0.4978,0.5353,0.5732,0.5267,0.5261,0.6627,0.8962
2009-12-01,0.018983,0.0112492872523131,0.0047966932773109245,7.7002,0.6497,0.5108,0.549,0.5961,0.5129,0.6194,0.498,0.5514,0.5658,0.5364,0.534,0.6592,0.9175
2010-01-01,-0.035851,-0.0007473512363001181,0.004856050209205021,7.7584,0.6611,0.5199,0.5447,0.6033,0.5231,0.6202,0.5032,0.5604,0.5655,0.5332,0.5312,0.6649,0.9277
2010-02-01,0.030424,0.017355128547883677,0.0046864375,7.5978,0.6452,0.5026,0.5361,0.5824,0.5083,0.6078,0.4927,0.5332,0.5672,0.523,0.5245,0.6516,0.9232
