date,y_true,fcast_comby,hmean,nr_comby,dy,ep,dpayr,svar,bmr,ntis,tbl,lty,ltr,dfr,dfy,inf,Pyun_FC
1999-01-01,0.039,0.01931062761363084,0.011405242990654204,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1999-02-01,-0.035435,0.019915273436981927,0.011660749999999998,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1999-03-01,0.035479,0.019469827563728937,0.011228678899082566,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1999-04-01,0.033259,0.01861956505181419,0.011449136363636361,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1999-05-01,-0.026859,0.016692693657449596,0.011645621621621617,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1999-06-01,0.051031,0.017682099607095447,0.011301830357142854,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1999-07-01,-0.03422,0.015174392922660812,0.011653415929203537,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1999-08-01,-0.008789,0.01116832040333636,0.011251017543859649,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1999-09-01,-0.031979,0.015870645915036456,0.011076756521739131,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1999-10-01,0.060338,0.015173388622875227,0.010705586206896552,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1999-11-01,0.016922,0.02514898775103389,0.011129794871794873,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1999-12-01,0.058979,0.009807445087186081,0.011178881355932205,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2000-01-01,-0.05403,0.009369717770709725,0.011580563025210084,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2000-02-01,-0.021558,0.026302145794529223,0.011033808333333334,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2000-03-01,0.094188,0.015742204481168094,0.010764454545454546,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2000-04-01,-0.036285,0.03191696517593625,0.011448254098360656,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2000-05-01,-0.026904,0.021894095876568688,0.011060178861788618,2,0,0,0,1,0,1,0,0,0,0,0,0,0
2000-06-01,0.021219,0.01421880201611863,0.010754016129032259,3,0,1,1,1,0,0,0,0,0,0,0,0,0
2000-07-01,-0.016795,0.012120298193591216,0.010837736,3,0,1,1,1,0,0,0,0,0,0,0,0,0
2000-08-01,0.057794,0.011582124227278801,0.010618428571428574,3,0,1,1,1,0,0,0,0,0,0,0,0,0
2000-09-01,-0.057088,0.012142529272244445,0.010989889763779528,4,0,1,1,1,0,1,0,0,0,0,0,0,0
2000-10-01,-0.00922,0.00842640161000313,0.010458031250000001,2,0,1,0,1,0,0,0,0,0,0,0,0,0
2000-11-01,-0.083868,0.01304855085574567,0.010305488372093025,2,0,1,0,1,0,0,0,0,0,0,0,0,0
2000-12-01,0.00062,0.008992212840497794,0.009581076923076923,2,0,1,0,1,0,0,0,0,0,0,0,0,0
2001-01-01,0.027375,0.010256195923227936,0.009512671755725193,2,0,1,0,1,0,0,0,0,0,0,0,0,0
2001-02-01,-0.096352,0.009654463377082678,0.009647992424242425,2,0,1,0,1,0,0,0,0,0,0,0,0,0
2001-03-01,-0.067506,0.005457744551476862,0.008851000000000001,2,0,1,0,0,0,0,0,0,0,0,0,0,1
2001-04-01,0.073625,0.00701582481926179,0.008281171641791044,2,0,1,0,0,0,0,0,0,0,0,0,0,1
2001-05-01,0.00297,0.00548006284294864,0.0087652,2,0,1,0,0,0,0,0,0,0,0,0,0,1
2001-06-01,-0.027706,0.0007036930174111544,0.008722588235294117,2,0,1,0,0,0,0,0,0,0,0,0,0,1
2001-07-01,-0.012117,0.0014490751935188157,0.008456686131386861,2,0,1,0,0,0,0,0,0,0,0,0,0,1
2001-08-01,-0.066435,0.004391695798163838,0.008307601449275363,2,0,1,0,0,0,0,0,0,0,0,0,0,1
2001-09-01,-0.083461,-0.0064394036638161945,0.007769884892086331,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2001-10-01,0.01674,-0.009621039360863112,0.0071182357142857144,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2001-11-01,0.076587,-0.010863387356225147,0.0071864751773049644,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2001-12-01,0.007351,-0.001688164935027769,0.007675211267605633,2,0,1,0,0,0,0,0,0,0,0,0,0,1
