date,y_true,fcast_ridge,hmean,nr_ridge,dy,ep,dpayr,svar,bmr,ntis,tbl,lty,ltr,dfr,dfy,inf,Pyun_FC
1999-01-01,0.039,0.011555619692964156,0.011405242990654204,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1999-02-01,-0.035435,0.01443257460150893,0.011660749999999998,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1999-03-01,0.035479,0.01133225119659815,0.011228678899082566,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1999-04-01,0.033259,0.01155610118984126,0.011449136363636361,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1999-05-01,-0.026859,0.01174599871245086,0.011645621621621617,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1999-06-01,0.051031,0.0113442828602212,0.011301830357142854,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1999-07-01,-0.03422,0.0117430988305525,0.011653415929203537,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1999-08-01,-0.008789,0.011302226273088146,0.011251017543859649,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1999-09-01,-0.031979,0.011146673344205032,0.011076756521739131,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1999-10-01,0.060338,0.010762388868057637,0.010705586206896552,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1999-11-01,0.016922,0.011263293350184852,0.011129794871794873,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1999-12-01,0.058979,0.011213383624149581,0.011178881355932205,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2000-01-01,-0.05403,0.011658327927072469,0.011580563025210084,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2000-02-01,-0.021558,0.011156727748438115,0.011033808333333334,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2000-03-01,0.094188,0.010802053373678181,0.010764454545454546,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2000-04-01,-0.036285,0.011687025204214265,0.011448254098360656,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2000-05-01,-0.026904,0.011272523943176864,0.011060178861788618,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2000-06-01,0.021219,0.010904927056285272,0.010754016129032259,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2000-07-01,-0.016795,0.010954540021345953,0.010837736,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
