date,y_true,fcast_enet,hmean,nr_enet,dy,ep,dpayr,svar,bmr,ntis,tbl,lty,ltr,dfr,dfy,inf
1960-01-01,-0.073333,0.011112311450611968,0.013531048951048948,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1960-02-01,0.010622,-0.0009392246234639567,0.012927826388888886,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1960-03-01,-0.015466,0.0032467007139329734,0.012911924137931031,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1960-04-01,-0.019613,0.006200819944121158,0.012717554794520547,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1960-05-01,0.031613,0.005133151418933805,0.012497619047619047,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1960-06-01,0.019102,0.005442053824894575,0.012626777027027027,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1960-07-01,-0.025348,0.009834964054914989,0.012670234899328859,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1960-08-01,0.030167,0.010395877110212242,0.01241678,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1960-09-01,-0.060413,0.010586411499021198,0.012534331125827814,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1960-10-01,-0.002679,0.009112707789722962,0.012054414473684211,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1960-11-01,0.043881,0.009525804629904714,0.011958117647058822,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1960-12-01,0.047539,0.008936555912086554,0.012165409090909091,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1961-01-01,0.06272,0.01103157234859408,0.012393625806451612,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1961-02-01,0.030938,0.010174164274084184,0.012716230769230768,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1961-03-01,0.027945,0.0111250125036133,0.012832292993630572,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1961-04-01,0.002537,0.01090522321944451,0.012927943037974681,4.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1961-05-01,0.021853,0.014571045613615947,0.01286259119496855,4.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1961-06-01,-0.028473,0.01099634301340856,0.012918781249999997,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1961-07-01,0.031795,0.010437624688994892,0.012661689440993787,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1961-08-01,0.02293,0.011575381450707863,0.012779796296296294,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1961-09-01,-0.020074,0.0108936770886336,0.012842067484662576,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1961-10-01,0.026475,0.011316649004289064,0.01264135975609756,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1961-11-01,0.043326,0.011331087914881618,0.012725199999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1961-12-01,0.003196,0.012909542168674707,0.012909542168674697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-01-01,-0.039256,0.010297008437292025,0.01285137724550898,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1962-02-01,0.018192,0.012541214285714286,0.012541214285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962-03-01,-0.005842,0.009804412872763136,0.012574650887573964,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1962-04-01,-0.063743,0.009693477954842293,0.012466317647058823,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1962-05-01,-0.082047,0.008488338563620803,0.012020649122807016,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1962-06-01,-0.083069,0.01103893860689777,0.01147374418604651,4.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1962-07-01,0.063203,0.005136256882292213,0.010927254335260114,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1962-08-01,0.018969,0.0044738253282917305,0.011227689655172412,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1962-09-01,-0.051116,0.006779482568617627,0.011271925714285713,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1962-10-01,0.006213,0.006840340810225743,0.010917448863636362,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1962-11-01,0.105768,0.006949789968006331,0.010890870056497174,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1962-12-01,0.013534,0.007631597204274251,0.01142388764044944,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1963-01-01,0.048067,0.006200293616114481,0.011435675977653634,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1963-02-01,-0.026689,0.006551578544605311,0.011639183333333336,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1963-03-01,0.034281,0.006637862874895557,0.011427425414364643,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
