date,y_true,fcast_lasso,hmean,nr_lasso,dy,ep,dpayr,svar,bmr,ntis,tbl,lty,ltr,dfr,dfy,inf
1960-01-01,-0.073333,0.01061761960047282,0.013531048951048948,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1960-02-01,0.010622,-0.0017518312578545673,0.012927826388888886,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1960-03-01,-0.015466,0.0020459929569953375,0.012911924137931031,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1960-04-01,-0.019613,0.005376958819216582,0.012717554794520547,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1960-05-01,0.031613,0.0042126241856033485,0.012497619047619047,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1960-06-01,0.019102,0.004548331262337835,0.012626777027027027,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1960-07-01,-0.025348,0.00970102923136916,0.012670234899328859,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1960-08-01,0.030167,0.010149253880923298,0.01241678,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1960-09-01,-0.060413,0.010344274850704683,0.012534331125827814,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1960-10-01,-0.002679,0.008755581833782318,0.012054414473684211,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1960-11-01,0.043881,0.009553009290724349,0.011958117647058822,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1960-12-01,0.047539,0.009013188098831417,0.012165409090909091,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1961-01-01,0.06272,0.010896061678737683,0.012393625806451612,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1961-02-01,0.030938,0.010396615827873927,0.012716230769230768,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1961-03-01,0.027945,0.010950479872685116,0.012832292993630572,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1961-04-01,0.002537,0.010921428336850477,0.012927943037974681,4.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1961-05-01,0.021853,0.014903626187688715,0.01286259119496855,4.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1961-06-01,-0.028473,0.010760395023687513,0.012918781249999997,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1961-07-01,0.031795,0.010159605096491666,0.012661689440993787,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1961-08-01,0.02293,0.011661233175713027,0.012779796296296294,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1961-09-01,-0.020074,0.010632275935711517,0.012842067484662576,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1961-10-01,0.026475,0.012641359756097547,0.01264135975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1961-11-01,0.043326,0.012725199999999994,0.012725199999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1961-12-01,0.003196,0.012909542168674707,0.012909542168674697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
