date,y_true,fcast_glp,hmean,nr_glp,dy,ep,dpayr,svar,bmr,ntis,tbl,lty,ltr,dfr,dfy,inf
1999-01-01,0.039,0.007645383806931272,0.007411266775777414,7.7308,0.5067,0.5736,0.4688,0.5606,0.5187,0.881,0.9862,0.5546,0.765,0.5158,0.9578,0.442
1999-02-01,-0.035435,0.011354066296408128,0.007462882352941176,7.6134,0.4945,0.5624,0.4613,0.5541,0.4988,0.8679,0.9874,0.5411,0.7563,0.5086,0.9619,0.4191
1999-03-01,0.035479,0.002110369128273229,0.007392902120717782,7.6778,0.5098,0.5819,0.4606,0.5719,0.5095,0.8748,0.9862,0.5426,0.7572,0.505,0.9549,0.4234
1999-04-01,0.033259,0.006112783502093629,0.007438644951140065,7.536,0.4924,0.5502,0.4602,0.5453,0.4959,0.8714,0.987,0.5402,0.7274,0.4928,0.9629,0.4103
1999-05-01,-0.026859,0.00492231818758672,0.007480629268292683,7.5658,0.4949,0.5517,0.4585,0.5506,0.5046,0.8792,0.988,0.5371,0.7197,0.4962,0.9647,0.4206
1999-06-01,0.051031,0.0010844017324885642,0.007424883116883117,7.6246,0.5005,0.561,0.4669,0.5489,0.5102,0.8771,0.9897,0.5429,0.733,0.5063,0.9641,0.424
1999-07-01,-0.03422,0.004131378646906752,0.0074955575364667746,7.4698,0.4885,0.5437,0.4642,0.5363,0.4915,0.8611,0.9857,0.5324,0.7118,0.4858,0.963,0.4058
1999-08-01,-0.008789,0.004001194599791207,0.007428056634304207,7.6767,0.5057,0.5734,0.4672,0.5609,0.5146,0.8726,0.988,0.5632,0.7334,0.5046,0.965,0.4281
1999-09-01,-0.031979,0.0036655864199212546,0.007401857835218093,7.6459,0.4986,0.5675,0.4616,0.5554,0.5074,0.878,0.9893,0.552,0.7401,0.5114,0.9625,0.4221
1999-10-01,0.060338,0.005306771975164911,0.007338340322580645,7.5725,0.4985,0.5659,0.449,0.5498,0.5041,0.8735,0.9864,0.5402,0.7348,0.493,0.9654,0.4119
1999-11-01,0.016922,0.004314575848001595,0.007423685990338163,7.5825,0.5021,0.5607,0.4619,0.5499,0.4965,0.8676,0.9881,0.5351,0.7347,0.5108,0.9629,0.4122
1999-12-01,0.058979,0.00466201093623674,0.007438956591639871,7.6038,0.5012,0.5626,0.4636,0.548,0.5102,0.8687,0.9873,0.5431,0.7311,0.5109,0.9678,0.4093
2000-01-01,-0.05403,0.0023599494112782264,0.007521685393258426,7.5644,0.5015,0.5438,0.4756,0.5366,0.5064,0.8676,0.9865,0.5438,0.7218,0.5032,0.9674,0.4102
2000-02-01,-0.021558,-0.001752308021272282,0.007423044871794871,7.6939,0.5101,0.5752,0.4713,0.5544,0.514,0.8739,0.9895,0.5527,0.7466,0.5167,0.9652,0.4243
2000-03-01,0.094188,-0.0003871240879050327,0.007376675199999999,7.7595,0.5182,0.5772,0.4725,0.5683,0.5202,0.8762,0.9883,0.5621,0.7467,0.5314,0.9708,0.4276
2000-04-01,-0.036285,0.0036708660144797985,0.007515351437699681,7.5961,0.5023,0.566,0.4745,0.5416,0.5141,0.8418,0.9869,0.5432,0.7533,0.4976,0.9635,0.4113
2000-05-01,-0.026904,0.0014368390102794915,0.007445494417862839,7.5373,0.4977,0.561,0.4624,0.5487,0.5018,0.8431,0.986,0.5349,0.7331,0.4987,0.9691,0.4008
2000-06-01,0.021219,0.004151765139382271,0.007390797770700637,7.8351,0.5318,0.5954,0.4803,0.5827,0.5326,0.8518,0.9877,0.5666,0.7692,0.5327,0.9664,0.4379
2000-07-01,-0.016795,0.00999876661563675,0.007412782193958666,7.8604,0.5293,0.5972,0.4901,0.5913,0.538,0.8609,0.9876,0.5576,0.767,0.5316,0.9663,0.4435
2000-08-01,0.057794,0.00627817574993235,0.0073743571428571434,7.7199,0.5137,0.5811,0.4676,0.5744,0.526,0.8539,0.9865,0.554,0.7589,0.5083,0.9678,0.4277
2000-09-01,-0.057088,0.0072219653863604995,0.007454261489698892,7.6754,0.508,0.572,0.4735,0.5731,0.5052,0.8594,0.9854,0.551,0.7574,0.5056,0.9645,0.4203
2000-10-01,-0.00922,0.005098284310452271,0.007352137658227849,7.5322,0.4922,0.5593,0.4515,0.5526,0.5021,0.8435,0.9857,0.5436,0.7266,0.5008,0.9676,0.4067
2000-11-01,-0.083868,0.004453226850577731,0.007325957345971565,7.5778,0.5036,0.5738,0.4542,0.5558,0.508,0.8351,0.9887,0.5411,0.739,0.4967,0.9673,0.4145
2000-12-01,0.00062,0.0069767975857030744,0.007182118296529969,7.666,0.5155,0.5869,0.4554,0.5788,0.5218,0.8288,0.9896,0.541,0.7379,0.521,0.9656,0.4237
2001-01-01,0.027375,0.007619977755788564,0.007171784251968505,7.6978,0.5195,0.5936,0.4557,0.587,0.5206,0.8258,0.9922,0.5437,0.742,0.5246,0.965,0.4281
2001-02-01,-0.096352,0.01011057358247802,0.00720355031446541,7.6954,0.5229,0.5864,0.4533,0.581,0.5209,0.8321,0.9899,0.5363,0.752,0.5295,0.9656,0.4255
2001-03-01,-0.067506,0.008814938241108955,0.0070409827315541604,7.458,0.5066,0.5864,0.4286,0.5911,0.5115,0.7796,0.9905,0.5149,0.7287,0.4529,0.9646,0.4026
2001-04-01,0.073625,0.00579316671800967,0.006924137931034483,7.606,0.5343,0.6156,0.4461,0.5978,0.5361,0.7565,0.9877,0.5306,0.7304,0.4826,0.9596,0.4287
2001-05-01,0.00297,0.00699438317149663,0.007028521126760563,7.1237,0.4785,0.5536,0.3899,0.5239,0.4898,0.7508,0.9894,0.4891,0.6697,0.429,0.9695,0.3905
2001-06-01,-0.027706,0.009769349843652516,0.0070221796875,7.2568,0.5006,0.5643,0.416,0.5387,0.4922,0.7578,0.9885,0.505,0.6934,0.4426,0.9616,0.3961
2001-07-01,-0.012117,0.008847421295883975,0.006968001560062402,7.3223,0.507,0.5811,0.4151,0.5382,0.514,0.7507,0.9874,0.5094,0.7,0.4449,0.9641,0.4104
2001-08-01,-0.066435,0.01087390969603146,0.006938274143302182,7.4379,0.5266,0.5954,0.4254,0.5585,0.5326,0.7443,0.9884,0.5237,0.711,0.4548,0.9647,0.4125
2001-09-01,-0.083461,0.008403231955711861,0.006824163297045102,7.5012,0.5457,0.6271,0.4321,0.5616,0.5428,0.734,0.9862,0.5258,0.6911,0.4636,0.9616,0.4296
2001-10-01,0.01674,0.005408360674869642,0.0066839689440993805,7.5547,0.5744,0.6562,0.4332,0.5645,0.5643,0.7119,0.9815,0.5288,0.6947,0.4727,0.9497,0.4228
2001-11-01,0.076587,0.01276453775571486,0.006699559689922483,7.5404,0.5677,0.6594,0.4419,0.5562,0.5487,0.7187,0.9845,0.5275,0.6937,0.4643,0.9518,0.426
2001-12-01,0.007351,0.007602492685744683,0.006807744582043346,7.3858,0.542,0.6208,0.4239,0.5402,0.5386,0.7239,0.9847,0.5191,0.6854,0.4501,0.9579,0.3992
2002-01-01,-0.015824,0.01514593129474887,0.00680858423493045,7.4133,0.5475,0.6197,0.424,0.5388,0.5407,0.7187,0.9845,0.52,0.6959,0.4597,0.9555,0.4083
2002-02-01,-0.020881,0.017574282985743532,0.006773657407407409,7.7017,0.5828,0.6543,0.4491,0.5746,0.5671,0.7448,0.9818,0.55,0.728,0.4832,0.9466,0.4394
2002-03-01,0.036272,0.016073228739410805,0.006731046224961481,7.8194,0.5975,0.689,0.4627,0.5734,0.5835,0.7496,0.9865,0.5573,0.7467,0.4934,0.9388,0.441
2002-04-01,-0.062301,0.010256040299101606,0.006776493846153848,7.6859,0.5878,0.6635,0.4524,0.562,0.5656,0.7439,0.9828,0.5456,0.7339,0.4761,0.9412,0.4311
2002-05-01,-0.0093,0.014493644332234462,0.006670384024577575,8.2316,0.6468,0.7454,0.4934,0.6219,0.6228,0.7581,0.9827,0.5916,0.8207,0.5304,0.9292,0.4886
2002-06-01,-0.072749,0.010314163290455897,0.00664588957055215,8.3069,0.6586,0.7556,0.5091,0.617,0.6311,0.7666,0.9833,0.5969,0.824,0.5541,0.9248,0.4858
2002-07-01,-0.075287,0.00882208891583878,0.006524304747320064,8.4356,0.6848,0.784,0.5227,0.6418,0.6534,0.7692,0.9744,0.6135,0.8398,0.5598,0.8896,0.5026
2002-08-01,0.005561,0.0034831984729965008,0.006399211009174314,8.6663,0.7213,0.8037,0.5513,0.6624,0.672,0.803,0.9616,0.6318,0.8585,0.6045,0.858,0.5382
2002-09-01,-0.110365,0.009770639863434153,0.006397931297709926,8.7485,0.7214,0.8172,0.5545,0.6806,0.6817,0.8004,0.9658,0.6483,0.8624,0.6076,0.8629,0.5457
2002-10-01,0.087199,0.0072123595726246905,0.006219939024390247,8.8149,0.7398,0.8191,0.5676,0.7368,0.6868,0.8267,0.952,0.6499,0.8363,0.6104,0.8323,0.5572
2002-11-01,0.057619,0.0012493564332347583,0.006343194824961951,8.7489,0.7276,0.8186,0.5616,0.7126,0.6826,0.7991,0.961,0.6468,0.8463,0.5991,0.8503,0.5433
2002-12-01,-0.060034,0.009313130341335926,0.006421121580547114,8.4218,0.6929,0.8058,0.5252,0.6418,0.6668,0.7749,0.9648,0.6187,0.7996,0.5507,0.8682,0.5124
2003-01-01,-0.027679,0.012269937479599511,0.006320279210925647,8.5304,0.7111,0.817,0.5402,0.6641,0.6729,0.7879,0.9602,0.6304,0.8182,0.5505,0.8499,0.528
2003-02-01,-0.016246,0.005602415773846119,0.006268765151515153,8.6346,0.7242,0.8314,0.557,0.6745,0.6816,0.7943,0.953,0.6449,0.8163,0.5783,0.8308,0.5483
2003-03-01,0.009408,0.00925117648920287,0.0062347034795764015,8.5476,0.7182,0.82,0.5445,0.6738,0.674,0.7946,0.9517,0.6323,0.816,0.5738,0.8233,0.5254
2003-04-01,0.081774,0.003762503466816934,0.006239496978851965,8.6715,0.7302,0.8244,0.5566,0.6852,0.6808,0.8013,0.9525,0.6457,0.824,0.5795,0.8368,0.5545
2003-05-01,0.052251,0.010441468292230176,0.006353425339366518,8.3111,0.6914,0.8083,0.5151,0.6291,0.6558,0.7733,0.9572,0.6165,0.7849,0.5428,0.8366,0.5001
2003-06-01,0.011916,0.017403860577018045,0.006422548192771086,8.345,0.7023,0.7982,0.525,0.6217,0.6615,0.7872,0.9619,0.6107,0.7854,0.5409,0.8544,0.4958
2003-07-01,0.016932,0.012444626612406686,0.006430809022556393,8.3564,0.6976,0.8035,0.5269,0.631,0.6646,0.7859,0.961,0.6138,0.7853,0.5502,0.8425,0.4941
2003-08-01,0.018897,0.004296311611222781,0.006446576576576578,8.3604,0.6958,0.8063,0.524,0.6366,0.6671,0.7825,0.9604,0.609,0.7896,0.5443,0.849,0.4958
2003-09-01,-0.011437,0.01575174838391411,0.006465242878560721,8.31,0.6911,0.8096,0.5133,0.6258,0.6635,0.7817,0.9678,0.6015,0.7777,0.5341,0.8602,0.4837
2003-10-01,0.05476,0.016861823772668358,0.006438443113772457,8.2176,0.6861,0.8067,0.5025,0.6073,0.6587,0.7715,0.9572,0.6082,0.7595,0.5253,0.8502,0.4844
2003-11-01,0.008559,0.010755992097042444,0.0065106726457399115,8.409,0.6998,0.8112,0.5242,0.6402,0.6649,0.7931,0.9685,0.6095,0.7943,0.5429,0.8618,0.4986
2003-12-01,0.05108,0.013480666199410712,0.0065137298507462705,8.2949,0.6889,0.8089,0.5067,0.6224,0.658,0.7841,0.9674,0.6028,0.784,0.5321,0.8552,0.4844
2004-01-01,0.018278,0.0159860247411284,0.0065801475409836075,8.4202,0.6879,0.8231,0.5157,0.6405,0.6773,0.7974,0.9739,0.6133,0.7885,0.5329,0.8796,0.4901
2004-02-01,0.013703,0.015707162279601443,0.00659755505952381,8.5562,0.7017,0.8231,0.5391,0.6547,0.6854,0.8097,0.9747,0.6239,0.7955,0.5585,0.8823,0.5076
2004-03-01,-0.015582,0.013993884856329044,0.006608112927191679,8.3669,0.685,0.81,0.5162,0.6356,0.6743,0.7848,0.9722,0.6119,0.7836,0.5366,0.8785,0.4782
2004-04-01,-0.016484,0.01166193778985721,0.006575189910979228,8.494,0.7039,0.819,0.5295,0.6465,0.6811,0.7954,0.9733,0.6212,0.7846,0.5544,0.8754,0.5097
2004-05-01,0.012829,0.004771925708688023,0.006541028148148147,8.4146,0.7013,0.8098,0.5248,0.6318,0.6673,0.7967,0.9693,0.6173,0.7839,0.5478,0.8631,0.5015
2004-06-01,0.018888,0.009233686089089668,0.0065503298816568046,8.4491,0.7029,0.8092,0.5263,0.6361,0.6733,0.8042,0.9724,0.6174,0.7854,0.5483,0.8724,0.5012
2004-07-01,-0.033754,0.011307796827721045,0.006568553914327916,8.4976,0.7081,0.816,0.5321,0.6509,0.6843,0.794,0.9715,0.6248,0.7758,0.5532,0.8756,0.5113
2004-08-01,0.002807,0.011830222105262076,0.006509081120943952,8.2439,0.6979,0.7917,0.4957,0.6044,0.6553,0.7816,0.9688,0.6037,0.7611,0.5311,0.8691,0.4835
2004-09-01,0.009717,0.013901891941632414,0.00650362886597938,8.4971,0.7204,0.8141,0.5374,0.6351,0.6796,0.7933,0.9674,0.6341,0.7843,0.5511,0.8738,0.5065
