date,y_true,fcast_comby,hmean,nr_comby,dy,ep,dpayr,svar,bmr,ntis,tbl,lty,ltr,dfr,dfy,inf
1999-01-01,0.039,0.008028997457714883,0.007411266775777414,2,0,0,0,0,0,0,0,0,1,0,0,1
1999-02-01,-0.035435,0.009665579993951042,0.007462882352941176,2,0,0,0,0,0,0,0,0,1,0,0,1
1999-03-01,0.035479,0.0043953962752856165,0.007392902120717782,3,0,0,0,0,0,1,0,0,1,0,0,1
1999-04-01,0.033259,0.009066915207607995,0.007438644951140065,1,0,0,0,0,0,0,0,0,0,0,0,1
1999-05-01,-0.026859,0.007616202032241641,0.007480629268292683,1,0,0,0,0,0,0,0,0,0,0,0,1
1999-06-01,0.051031,0.004075689332013687,0.007424883116883117,1,0,0,0,0,0,0,0,0,0,0,0,1
1999-07-01,-0.03422,0.008796851789637825,0.0074955575364667746,2,0,0,0,0,0,1,0,0,0,0,0,1
1999-08-01,-0.008789,0.008648899154717855,0.007428056634304207,2,0,0,0,0,0,1,0,0,0,0,0,1
1999-09-01,-0.031979,0.007430197470503371,0.007401857835218093,1,0,0,0,0,0,1,0,0,0,0,0,0
1999-10-01,0.060338,0.007645686446790374,0.007338340322580645,3,0,0,0,0,0,1,0,0,1,0,0,1
1999-11-01,0.016922,0.006576737662534783,0.007423685990338163,3,0,0,0,0,0,1,0,0,1,0,0,1
1999-12-01,0.058979,0.0072543321277578,0.007438956591639871,3,0,0,0,0,0,1,0,0,1,0,0,1
2000-01-01,-0.05403,0.008664967071398943,0.007521685393258426,2,0,0,0,0,0,1,0,0,0,0,0,1
2000-02-01,-0.021558,0.008804431542910983,0.007423044871794871,3,0,0,0,0,0,1,0,0,1,0,0,1
2000-03-01,0.094188,0.005631810674402864,0.007376675199999999,1,0,0,0,0,0,1,0,0,0,0,0,0
2000-04-01,-0.036285,0.010292528936100335,0.007515351437699681,2,0,0,0,0,0,1,0,0,1,0,0,0
2000-05-01,-0.026904,0.005931723247599434,0.007445494417862839,3,0,0,0,0,0,1,0,0,1,0,0,1
2000-06-01,0.021219,0.007565672845534416,0.007390797770700637,2,0,0,0,0,0,0,0,0,1,0,0,1
2000-07-01,-0.016795,0.009842185498688608,0.007412782193958666,2,0,0,0,0,0,0,0,0,1,0,0,1
2000-08-01,0.057794,0.007587560359260712,0.0073743571428571434,2,0,0,0,0,0,0,0,0,1,0,0,1
2000-09-01,-0.057088,0.009712837350535162,0.007454261489698892,3,0,0,0,0,0,1,0,0,1,0,0,1
2000-10-01,-0.00922,0.008000229808280976,0.007352137658227849,3,0,0,0,0,0,1,0,0,1,0,0,1
2000-11-01,-0.083868,0.00768632051880944,0.007325957345971565,2,0,0,0,0,0,0,0,0,1,0,0,1
2000-12-01,0.00062,0.008330403277727147,0.007182118296529969,1,0,0,0,0,0,0,0,0,0,0,0,1
2001-01-01,0.027375,0.009216921799720992,0.007171784251968505,1,0,0,0,0,0,0,0,0,0,0,0,1
2001-02-01,-0.096352,0.01016379164651512,0.00720355031446541,1,0,0,0,0,0,0,0,0,0,0,0,1
2001-03-01,-0.067506,0.007119361708220525,0.0070409827315541604,3,0,0,0,0,0,0,1,0,1,0,0,1
2001-04-01,0.073625,0.0063020470760249934,0.006924137931034483,1,0,0,0,0,0,0,0,0,0,0,0,1
2001-05-01,0.00297,0.00772293396183849,0.007028521126760563,1,0,0,0,0,0,0,0,0,0,0,0,1
2001-06-01,-0.027706,0.006424373410245861,0.0070221796875,1,0,0,0,0,0,0,0,0,0,0,0,1
2001-07-01,-0.012117,0.005949185840290287,0.006968001560062402,1,0,0,0,0,0,0,0,0,0,0,0,1
2001-08-01,-0.066435,0.008088743105962895,0.006938274143302182,1,0,0,0,0,0,0,0,0,0,0,0,1
2001-09-01,-0.083461,0.011342258097248474,0.006824163297045102,1,0,0,0,0,0,0,0,0,0,0,0,1
2001-10-01,0.01674,0.0029534391271964886,0.0066839689440993805,2,0,1,0,0,0,0,0,0,0,0,0,0
2001-11-01,0.076587,0.002321300919491816,0.006699559689922483,2,0,1,0,0,0,0,0,0,0,0,0,1
2001-12-01,0.007351,0.004157367768738102,0.006807744582043346,4,0,1,0,0,0,0,1,0,1,0,0,0
2002-01-01,-0.015824,0.005270864548893757,0.00680858423493045,4,0,1,0,0,0,0,1,0,1,0,0,0
2002-02-01,-0.020881,0.004513271393740477,0.006773657407407409,3,0,1,0,0,0,0,0,0,1,0,0,0
2002-03-01,0.036272,0.004320169319890065,0.006731046224961481,3,0,1,0,0,0,0,0,0,1,0,0,0
2002-04-01,-0.062301,0.0016110078063250593,0.006776493846153848,3,0,1,0,0,0,0,0,0,1,0,0,0
2002-05-01,-0.0093,0.005508024640942385,0.006670384024577575,2,0,1,0,0,0,0,0,0,1,0,0,0
2002-06-01,-0.072749,0.0024214975481660983,0.00664588957055215,2,0,1,0,0,0,0,0,0,1,0,0,0
2002-07-01,-0.075287,-0.0012353320944301274,0.006524304747320064,1,0,1,0,0,0,0,0,0,0,0,0,0
2002-08-01,0.005561,-0.0008733227964520039,0.006399211009174314,1,0,1,0,0,0,0,0,0,0,0,0,0
2002-09-01,-0.110365,-0.0004720240664461588,0.006397931297709926,1,0,1,0,0,0,0,0,0,0,0,0,0
2002-10-01,0.087199,0.00020648930249346321,0.006219939024390247,1,0,1,0,0,0,0,0,0,0,0,0,0
2002-11-01,0.057619,-0.00035906087498491164,0.006343194824961951,1,0,1,0,0,0,0,0,0,0,0,0,0
2002-12-01,-0.060034,-0.0007791559587355676,0.006421121580547114,1,0,1,0,0,0,0,0,0,0,0,0,0
2003-01-01,-0.027679,-0.000856229097394293,0.006320279210925647,1,0,1,0,0,0,0,0,0,0,0,0,0
2003-02-01,-0.016246,-0.0004803322020483612,0.006268765151515153,1,0,1,0,0,0,0,0,0,0,0,0,0
2003-03-01,0.009408,-0.00010390324527586295,0.0062347034795764015,1,0,1,0,0,0,0,0,0,0,0,0,0
2003-04-01,0.081774,0.00013508034297084523,0.006239496978851965,1,0,1,0,0,0,0,0,0,0,0,0,0
